iter	Passed	Remaining
0	64	19239
1	71	10615
2	76	7594
3	81	6053
4	86	5119
5	91	4499
6	96	4044
7	101	3703
8	106	3438
9	111	3237
10	116	3070
11	122	2934
12	127	2821
13	133	2724
14	138	2627
15	143	2548
16	149	2481
17	153	2409
18	158	2347
19	163	2291
20	168	2237
21	173	2197
22	178	2151
23	183	2113
24	189	2082
25	195	2056
26	200	2027
27	210	2042
28	220	2060
29	226	2036
30	232	2014
31	237	1992
32	243	1971
33	249	1953
34	255	1931
35	262	1925
36	267	1902
37	272	1880
38	278	1861
39	284	1846
40	289	1828
41	295	1812
42	300	1795
43	306	1781
44	311	1765
45	317	1751
46	324	1744
47	330	1735
48	336	1721
49	341	1708
50	347	1696
51	352	1682
52	358	1669
53	363	1656
54	368	1642
55	373	1629
56	378	1614
57	384	1602
58	389	1589
59	394	1577
60	399	1564
61	404	1554
62	410	1542
63	415	1533
64	421	1525
65	427	1515
66	432	1505
67	438	1495
68	443	1484
69	448	1473
70	453	1463
71	458	1452
72	463	1441
73	468	1431
74	473	1421
75	479	1412
76	484	1404
77	490	1394
78	495	1386
79	500	1376
80	505	1367
81	511	1360
82	517	1352
83	523	1344
84	528	1337
85	534	1328
86	538	1319
87	544	1312
88	549	1303
89	555	1296
90	561	1289
91	566	1280
92	571	1271
93	577	1264
94	582	1255
95	587	1247
96	591	1238
97	596	1230
98	602	1223
99	607	1215
100	612	1207
101	618	1200
102	623	1192
103	628	1185
104	634	1177
105	638	1169
106	643	1161
107	649	1154
108	654	1146
109	659	1138
110	664	1131
111	669	1123
112	675	1117
113	679	1108
114	684	1101
115	689	1094
116	694	1086
117	699	1079
118	704	1071
119	709	1064
120	714	1057
121	719	1050
122	725	1043
123	730	1036
124	734	1028
125	739	1021
126	744	1014
127	749	1007
128	754	1000
129	759	993
130	764	985
131	769	978
132	774	972
133	779	965
134	784	959
135	789	952
136	795	946
137	800	939
138	805	932
139	810	925
140	814	918
141	819	912
142	824	905
143	829	899
144	834	892
145	839	885
146	844	879
147	848	871
148	853	865
149	858	858
150	863	851
151	868	845
152	872	838
153	877	831
154	881	824
155	886	818
156	890	811
157	895	804
158	900	798
159	906	792
160	911	786
161	916	780
162	922	775
163	927	769
164	932	762
165	938	757
166	943	751
167	948	745
168	954	739
169	959	734
170	965	728
171	970	721
172	974	715
173	979	709
174	985	704
175	992	699
176	1001	696
177	1006	689
178	1011	683
179	1015	677
180	1021	671
181	1026	665
182	1030	659
183	1036	653
184	1040	647
185	1045	640
186	1049	634
187	1054	628
188	1059	622
189	1064	616
190	1069	610
191	1073	603
192	1078	597
193	1083	592
194	1088	585
195	1093	580
196	1097	574
197	1103	568
198	1108	562
199	1113	556
200	1118	550
201	1124	545
202	1129	539
203	1133	533
204	1138	527
205	1144	522
206	1148	516
207	1153	510
208	1157	503
209	1161	497
210	1165	491
211	1170	485
212	1174	479
213	1178	473
214	1183	467
215	1187	461
216	1194	456
217	1201	451
218	1210	447
219	1217	442
220	1228	439
221	1235	434
222	1241	428
223	1246	422
224	1250	416
225	1255	411
226	1260	405
227	1265	399
228	1270	393
229	1274	388
230	1279	382
231	1283	376
232	1287	370
233	1291	364
234	1295	358
235	1300	352
236	1304	346
237	1308	340
238	1312	335
239	1317	329
240	1321	323
241	1325	317
242	1330	312
243	1334	306
244	1339	300
245	1343	294
246	1348	289
247	1352	283
248	1356	277
249	1360	272
250	1365	266
251	1369	260
252	1373	255
253	1377	249
254	1382	243
255	1386	238
256	1390	232
257	1394	227
258	1399	221
259	1403	215
260	1407	210
261	1411	204
262	1416	199
263	1420	193
264	1424	188
265	1429	182
266	1434	177
267	1439	171
268	1444	166
269	1449	161
270	1454	155
271	1459	150
272	1464	144
273	1468	139
274	1473	133
275	1478	128
276	1482	123
277	1488	117
278	1492	112
279	1497	106
280	1501	101
281	1506	96
282	1511	90
283	1516	85
284	1521	80
285	1526	74
286	1531	69
287	1536	64
288	1541	58
289	1545	53
290	1550	47
291	1555	42
292	1559	37
293	1564	31
294	1568	26
295	1573	21
296	1578	15
297	1583	10
298	1587	5
299	1592	0
